outcome,term,event_time,estimate,std_error,t_value,p_value,conf.low,conf.high
y1,event_time::5:treated,5,1.2037739822122706,0.03264542358676039,36.87420317929251,1.7570653717342366e-256,1.1397707561678847,1.2677772082566565
y1,event_time::6:treated,6,1.0688736542566892,0.03640634071216817,29.359546533591534,9.398159084053528e-172,0.9974969343971,1.1402503741162786
y1,event_time::7:treated,7,0.9429255378828415,0.040312095060060435,23.390635899175912,1.6159782566376255e-113,0.8638913625230156,1.0219597132426674
y1,event_time::8:treated,8,0.7556111692745182,0.044501282941940314,16.97953675313911,1.7172827690511678e-62,0.6683638507084544,0.842858487840582
y1,event_time::9:treated,9,0.6443257855718691,0.049652033073694264,12.976825835420506,9.483441802074645e-38,0.5469801258369532,0.7416714453067851
y1,event_time::10:treated,10,0.5505140241059165,0.053577172575138034,10.275160066236442,1.8323641015080746e-24,0.4454729031649608,0.6555551450468723
y1,event_time::11:treated,11,0.39766077078752227,0.05815397228756519,6.8380672058158325,9.245929898462869e-12,0.28364657140646454,0.51167497016858
y1,event_time::12:treated,12,0.23956739700808827,0.06691471738610041,3.580189924822897,3.4742399338394517e-4,0.10837725419445099,0.37075753982172555
y2,event_time::-11:treated,-11,2.094881738765345,0.08214645283184369,25.50179181873662,4.786887668724798e-133,1.9338289046562098,2.25593457287448
y2,event_time::-10:treated,-10,1.924171322256591,0.06678735274566479,28.810414594273468,5.069394511554148e-166,1.7932308851283525,2.05511175938483
y2,event_time::-9:treated,-9,1.7350846699711615,0.05669053042246065,30.60625217370916,5.067936229337466e-185,1.6239396323348174,1.8462297076075056
y2,event_time::-8:treated,-8,1.541280349414424,0.050304199841547145,30.63919820351566,2.2362725609680493e-185,1.4426560793116385,1.6399046195172096
y2,event_time::-7:treated,-7,1.2985165218886938,0.044844850553347464,28.955755362457452,1.5657083800190277e-167,1.2105956193075236,1.386437424469864
y2,event_time::-6:treated,-6,1.0757700190468638,0.04008894176705565,26.83458259631367,5.369391279483504e-146,0.9971733485218818,1.1543666895718458
y2,event_time::-5:treated,-5,0.8798634981557572,0.035637615851020786,24.689179597028367,2.2052505407249833e-125,0.8099939074937167,0.9497330888177976
y2,event_time::-4:treated,-4,0.6741196204424481,0.032314733202526445,20.861060997085495,7.977383093460629e-92,0.6107647318704367,0.7374745090144595
y2,event_time::-3:treated,-3,0.4289762866139064,0.028924580239398076,14.830856076853252,1.7587991930265667e-48,0.37226798744354533,0.4856845857842675
y2,event_time::-2:treated,-2,0.21970665515081667,0.026551661065011403,8.274685889250685,1.735446273015464e-16,0.16765060017326555,0.2717627101283678
y2,event_time::0:treated,0,2.783873773335711,0.024998395437070543,111.36209843322413,0,2.7348629847437484,2.8328845619276732
y2,event_time::1:treated,1,2.5559885797595543,0.02526449565094026,101.16919075186165,0,2.506456086430219,2.6055210730888896
y2,event_time::2:treated,2,2.402275899081169,0.026765869851390952,89.75146006533873,0,2.3497998754872236,2.4547519226751144
y2,event_time::3:treated,3,2.1445855854519573,0.02811704443431239,76.27350699900845,0,2.0894605065615988,2.199710664342316
y2,event_time::4:treated,4,1.9202068275413806,0.030155489719747342,63.67685769281113,0,1.8610852597086724,1.9793283953740888
y2,event_time::5:treated,5,1.7147808862104448,0.032810301293162814,52.2634909959751,0,1.6504544079624381,1.7791073644584514
y2,event_time::6:treated,6,1.4817549149466247,0.035958766003180494,41.20705684993656,1.11549767050508e-309,1.411255690984583,1.5522541389086664
y2,event_time::7:treated,7,1.284267990414047,0.040272457774854546,31.88948629839827,4.948776912026887e-199,1.2053115262261431,1.363224454601951
y2,event_time::8:treated,8,1.070376192394934,0.04391350038307971,24.3746497787127,1.8237124174551155e-122,0.9842812552608257,1.1564711295290424
y2,event_time::9:treated,9,0.7951708478934297,0.04878935883131491,16.298038485044778,7.194220428412696e-58,0.699516510508519,0.8908251852783404
y2,event_time::10:treated,10,0.5897437347869665,0.052646293744307564,11.201999093254939,1.0617923555321449e-28,0.4865276552050617,0.6929598143688713
y2,event_time::11:treated,11,0.45213822061251707,0.059119349155175145,7.647889008821034,2.5432956786619297e-14,0.33623134449190195,0.5680450967331322
y2,event_time::12:treated,12,0.17892043029120064,0.0657785277755418,2.7200430952443417,0.006555560187774801,0.04995785240042616,0.3078830081819751
y3,event_time::-11:treated,-11,-3.6179389563788105,0.08188146507086179,-44.18507843316893,0,-3.7784722667782886,-3.4574056459793323
y3,event_time::-10:treated,-10,-3.223355011838131,0.06529445590265667,-49.366442637084305,0,-3.3513685390474324,-3.09534148462883
y3,event_time::-9:treated,-9,-2.804675822131231,0.056763190129567286,-49.410116234293675,0,-2.9159633132923672,-2.693388330970095
y3,event_time::-8:treated,-8,-2.5385368829048187,0.05058379939685941,-50.18478076327395,0,-2.6377093239784295,-2.439364441831208
y3,event_time::-7:treated,-7,-2.136793827410353,0.04517031233674094,-47.305270140280015,0,-2.2253528164919474,-2.0482348383287587
y3,event_time::-6:treated,-6,-1.7732197789853874,0.03993681758745416,-44.40062794443668,0,-1.8515182013278033,-1.6949213566429715
y3,event_time::-5:treated,-5,-1.4286811346703834,0.036093171383733816,-39.583142181688416,1.956119955795588e-289,-1.4994438680928024,-1.3579184012479644
y3,event_time::-4:treated,-4,-1.0595086459821763,0.032675943449446625,-32.424730065448784,5.618162646010347e-205,-1.1235717079685024,-0.9954455839958503
y3,event_time::-3:treated,-3,-0.7482360282635124,0.02869142698091145,-26.078731767552643,1.3530363455573448e-138,-0.8044872170929326,-0.6919848394340923
y3,event_time::-2:treated,-2,-0.37177966608107965,0.026270736153905253,-14.151855658061303,2.1103426939330725e-44,-0.42328495165172625,-0.32027438051043305
y3,event_time::0:treated,0,-4.673058535272498,0.024683521411202038,-189.31895726805575,0,-4.721451995270159,-4.624665075274836
y3,event_time::1:treated,1,-4.312045093083438,0.025529711677821865,-168.90300789528274,0,-4.3620975576508245,-4.261992628516052
y3,event_time::2:treated,2,-3.9558075850548238,0.026590102547330484,-148.76992587800183,0,-4.007939006764126,-3.903676163345522
y3,event_time::3:treated,3,-3.587552620717461,0.02870143625586147,-124.99557822597826,0,-3.643823433304725,-3.5312818081301973
y3,event_time::4:treated,4,-3.260509948816013,0.030816013379286814,-105.80570266131785,0,-3.3209265111822375,-3.200093386449789
y3,event_time::5:treated,5,-2.8858080362098404,0.03351471078705984,-86.1057120422493,0,-2.9515155496876666,-2.820100522732014
y3,event_time::6:treated,6,-2.537030828848322,0.0374657071176731,-67.71608022450934,0,-2.610484497329367,-2.463577160367277
y3,event_time::7:treated,7,-2.1421655555469883,0.04031236620915343,-53.139166885733005,0,-2.2212002625101688,-2.063130848583808
y3,event_time::8:treated,8,-1.8353854097983184,0.04528005295018448,-40.5340826747165,3.0069790237464373e-301,-1.9241595516491765,-1.7466112679474604
y3,event_time::9:treated,9,-1.4818500755716169,0.049496963610237685,-29.938201608494605,7.210093392009737e-178,-1.5788917127259767,-1.384808438417257
y3,event_time::10:treated,10,-1.152437557568616,0.05393279956159083,-21.36802774817097,5.128795464313047e-96,-1.2581759056213884,-1.0466992095158438
y3,event_time::11:treated,11,-0.810622024859869,0.0583331437249202,-13.896422738374847,6.525640519390565e-43,-0.924987500124214,-0.696256549595524
y3,event_time::12:treated,12,-0.3780686190167355,0.06444971834252246,-5.866101958855178,4.822749945592518e-9,-0.5044259897707295,-0.2517112482627415
