year,business_id,personal_id,education_level,age,tenure,firm_entry_year,firm_exit_year,first_year_treatment,treatment,base_income
2009,1284,18,medium,47,7,2009,2017,2016,0,47664.32145155814
2010,1284,18,medium,48,8,2009,2017,2016,0,48541.83460743855
2011,1284,18,medium,49,9,2009,2017,2016,0,49607.90090142441
2012,1284,18,medium,50,10,2009,2017,2016,0,50606.06924631803
2013,1284,18,medium,51,11,2009,2017,2016,0,51423.74852516219
2014,1284,18,medium,52,12,2009,2017,2016,0,52268.26312147293
2015,1284,18,medium,53,13,2009,2017,2016,0,53245.8441296562
2016,1284,18,medium,54,14,2009,2017,2016,1,61118.621234389466
2017,1284,18,medium,55,15,2009,2017,2016,1,62082.61904736543
2008,4655,19,low,42,4,2008,2020,2017,0,41132.65038874368
2009,4655,19,low,43,5,2008,2020,2017,0,41804.5609871427
2010,4655,19,low,44,6,2008,2020,2017,0,42566.04034363566
2011,4655,19,low,45,7,2008,2020,2017,0,43664.846320137956
2012,4655,19,low,46,8,2008,2020,2017,0,44498.06585327599
2013,4655,19,low,47,9,2008,2020,2017,0,45583.19581865745
2014,4655,19,low,48,10,2008,2020,2017,0,46327.56662046529
2015,4655,19,low,49,11,2008,2020,2017,0,47112.42213614361
2016,4655,19,low,50,12,2008,2020,2017,0,48142.579855119235
2017,4655,19,low,51,13,2008,2020,2017,1,55950.80256745411
2018,4655,19,low,52,14,2008,2020,2017,1,57159.01577190108
2019,4655,19,low,53,15,2008,2020,2017,1,57947.164195444806
2020,4655,19,low,54,16,2008,2020,2017,1,58864.75581090137
2012,3485,20,high,37,9,2012,2015,2018,0,50753.60265349049
2013,3485,20,high,38,10,2012,2015,2018,0,51684.01711592784
2014,3485,20,high,39,11,2012,2015,2018,0,52613.33420250691
2015,3485,20,high,40,12,2012,2015,2018,0,53346.02546406754
2007,6496,21,medium,38,3,2007,2015,2014,0,42908.00383670083
2008,6496,21,medium,39,4,2007,2015,2014,0,43865.30662627523
2009,6496,21,medium,40,5,2007,2015,2014,0,44845.47503762607
2010,6496,21,medium,41,6,2007,2015,2014,0,45493.56580185393
2011,6496,21,medium,42,7,2007,2015,2014,0,46764.27258832938
2012,6496,21,medium,43,8,2007,2015,2014,0,47360.325277981705
2013,6496,21,medium,44,9,2007,2015,2014,0,48509.909332582916
2014,6496,21,medium,45,10,2007,2015,2014,1,56333.19292107945
2015,6496,21,medium,46,11,2007,2015,2014,1,57278.51753246497
2010,8766,22,high,32,4,2010,2015,2016,0,47052.80802587099
2011,8766,22,high,33,5,2010,2015,2016,0,48021.720647789305
2012,8766,22,high,34,6,2010,2015,2016,0,48852.81224758821
2013,8766,22,high,35,7,2010,2015,2016,0,49744.3818854198
2014,8766,22,high,36,8,2010,2015,2016,0,50610.27636686387
2015,8766,22,high,37,9,2010,2015,2016,0,51752.58299572508
2013,9374,23,medium,31,7,2013,2020,2014,0,43436.6909417097
2014,9374,23,medium,32,8,2013,2020,2014,1,51320.94968626324
2015,9374,23,medium,33,9,2013,2020,2014,1,52112.4438211968
2016,9374,23,medium,34,10,2013,2020,2014,1,53076.51516664107
2017,9374,23,medium,35,11,2013,2020,2014,1,53901.27707923271
2018,9374,23,medium,36,12,2013,2020,2014,1,54850.883647125054
2019,9374,23,medium,37,13,2013,2020,2014,1,55679.0877610439
2020,9374,23,medium,38,14,2013,2020,2014,1,56858.91441322026
2012,2658,24,high,32,9,2012,2019,2017,0,48874.30939094884
2013,2658,24,high,33,10,2012,2019,2017,0,49762.49211771319
2014,2658,24,high,34,11,2012,2019,2017,0,50617.43897244974
2015,2658,24,high,35,12,2012,2019,2017,0,51572.87945384183
2016,2658,24,high,36,13,2012,2019,2017,0,52500.510657243474
2017,2658,24,high,37,14,2012,2019,2017,1,60445.05204472168
2018,2658,24,high,38,15,2012,2019,2017,1,61285.46777908025
2019,2658,24,high,39,16,2012,2019,2017,1,62089.93889909724
2007,7949,25,medium,29,4,2007,2018,2015,0,39998.54251561838
2008,7949,25,medium,30,5,2007,2018,2015,0,41117.965966916345
2009,7949,25,medium,31,6,2007,2018,2015,0,41937.72112508425
2010,7949,25,medium,32,7,2007,2018,2015,0,42914.88932412535
2011,7949,25,medium,33,8,2007,2018,2015,0,43828.027516442
2012,7949,25,medium,34,9,2007,2018,2015,0,44665.10799621527
2013,7949,25,medium,35,10,2007,2018,2015,0,45426.82692324902
2014,7949,25,medium,36,11,2007,2018,2015,0,46468.958492016056
2015,7949,25,medium,37,12,2007,2018,2015,1,54489.959664785274
2016,7949,25,medium,38,13,2007,2018,2015,1,55205.25719757419
2017,7949,25,medium,39,14,2007,2018,2015,1,56184.06152512883
2018,7949,25,medium,40,15,2007,2018,2015,1,57048.62220447328
2010,2147,26,low,44,8,2010,2015,2012,0,43437.23777965472
2011,2147,26,low,45,9,2010,2015,2012,0,44132.22139070066
2012,2147,26,low,46,10,2010,2015,2012,1,52215.35318720079
2013,2147,26,low,47,11,2010,2015,2012,1,52962.49893716302
2014,2147,26,low,48,12,2010,2015,2012,1,53830.58540464925
2015,2147,26,low,49,13,2010,2015,2012,1,54810.986007304324
2008,2847,27,medium,25,6,2008,2015,2012,0,39584.24569180075
2009,2847,27,medium,26,7,2008,2015,2012,0,40641.15296065094
2010,2847,27,medium,27,8,2008,2015,2012,0,41381.95375788687
2011,2847,27,medium,28,9,2008,2015,2012,0,42269.32780618494
2012,2847,27,medium,29,10,2008,2015,2012,1,50309.614294390165
2013,2847,27,medium,30,11,2008,2015,2012,1,51110.10539442115
2014,2847,27,medium,31,12,2008,2015,2012,1,51885.5724819832
2015,2847,27,medium,32,13,2008,2015,2012,1,52985.59703853082
2011,9267,28,medium,41,7,2011,2018,2012,0,46226.038123057064
2012,9267,28,medium,42,8,2011,2018,2012,1,54135.07527216663
2013,9267,28,medium,43,9,2011,2018,2012,1,55015.14793006121
2014,9267,28,medium,44,10,2011,2018,2012,1,55906.3754971722
2015,9267,28,medium,45,11,2011,2018,2012,1,56933.31732948398
2016,9267,28,medium,46,12,2011,2018,2012,1,57774.209783545644
2017,9267,28,medium,47,13,2011,2018,2012,1,58352.18307863634
2018,9267,28,medium,48,14,2011,2018,2012,1,59573.173693805045
2007,10098,29,high,46,4,2007,2019,2011,0,51048.208774419436
2008,10098,29,high,47,5,2007,2019,2011,0,52089.282536429884
2009,10098,29,high,48,6,2007,2019,2011,0,52843.67413885397
2010,10098,29,high,49,7,2007,2019,2011,0,54053.92577912109
2011,10098,29,high,50,8,2007,2019,2011,1,61839.67935787702
2012,10098,29,high,51,9,2007,2019,2011,1,62561.008960899024
2013,10098,29,high,52,10,2007,2019,2011,1,63614.96230788331
2014,10098,29,high,53,11,2007,2019,2011,1,64452.521171269094
2015,10098,29,high,54,12,2007,2019,2011,1,65323.34657964802
2016,10098,29,high,55,13,2007,2019,2011,1,66280.26522556074
2017,10098,29,high,56,14,2007,2019,2011,1,67105.40708742605
2018,10098,29,high,57,15,2007,2019,2011,1,68024.03511560775
2019,10098,29,high,58,16,2007,2019,2011,1,68982.3352516279
2013,289,30,medium,30,7,2013,2015,2016,0,43255.24527417455
2014,289,30,medium,31,8,2013,2015,2016,0,43975.11949722197
2015,289,30,medium,32,9,2013,2015,2016,0,44804.62033350278
2012,2834,31,low,51,10,2012,2016,2016,0,46647.0769144906
2013,2834,31,low,52,11,2012,2016,2016,0,47946.13034719636
2014,2834,31,low,53,12,2012,2016,2016,0,48623.6758287428
2015,2834,31,low,54,13,2012,2016,2016,0,49603.480929008125
2016,2834,31,low,55,14,2012,2016,2016,1,57640.5907236927
2010,3105,32,medium,42,8,2010,2018,2016,0,46622.76023209305
2011,3105,32,medium,43,9,2010,2018,2016,0,47480.53297381225
2012,3105,32,medium,44,10,2010,2018,2016,0,48541.967297754374
2013,3105,32,medium,45,11,2010,2018,2016,0,49346.07370675639
2014,3105,32,medium,46,12,2010,2018,2016,0,50258.61056047234
2015,3105,32,medium,47,13,2010,2018,2016,0,50947.68391295282
2016,3105,32,medium,48,14,2010,2018,2016,1,59120.59152072426
2017,3105,32,medium,49,15,2010,2018,2016,1,59937.55880679916
2018,3105,32,medium,50,16,2010,2018,2016,1,60662.841062027685
2010,4758,33,high,38,4,2010,2019,2017,0,49248.50941116133
2011,4758,33,high,39,5,2010,2019,2017,0,49893.74743260883
2012,4758,33,high,40,6,2010,2019,2017,0,51234.1975202513
2013,4758,33,high,41,7,2010,2019,2017,0,51789.814520001826
2014,4758,33,high,42,8,2010,2019,2017,0,52961.17927657184
2015,4758,33,high,43,9,2010,2019,2017,0,53618.70444518814
2016,4758,33,high,44,10,2010,2019,2017,0,54656.02257109707
2017,4758,33,high,45,11,2010,2019,2017,1,62408.78717433905
2018,4758,33,high,46,12,2010,2019,2017,1,63499.711522189784
2019,4758,33,high,47,13,2010,2019,2017,1,64276.468125809275
2008,1999,34,medium,40,6,2008,2017,2010,0,44846.77795462077
2009,1999,34,medium,41,7,2008,2017,2010,0,45701.5064381579
2010,1999,34,medium,42,8,2008,2017,2010,1,53463.43352135163
2011,1999,34,medium,43,9,2008,2017,2010,1,54550.41068596905
2012,1999,34,medium,44,10,2008,2017,2010,1,55349.676251433426
2013,1999,34,medium,45,11,2008,2017,2010,1,56404.53127930076
2014,1999,34,medium,46,12,2008,2017,2010,1,57176.41401918493
2015,1999,34,medium,47,13,2008,2017,2010,1,58092.32360909717
2016,1999,34,medium,48,14,2008,2017,2010,1,59168.292646437294
2017,1999,34,medium,49,15,2008,2017,2010,1,60138.163679450794
2008,7834,35,low,24,4,2008,2016,2018,0,34778.60339557121
2009,7834,35,low,25,5,2008,2016,2018,0,35571.28599025766
2010,7834,35,low,26,6,2008,2016,2018,0,36462.533867164384
2011,7834,35,low,27,7,2008,2016,2018,0,37318.13230146814
2012,7834,35,low,28,8,2008,2016,2018,0,38237.47618164464
2013,7834,35,low,29,9,2008,2016,2018,0,39172.6390256496
2014,7834,35,low,30,10,2008,2016,2018,0,40296.42529669949
2015,7834,35,low,31,11,2008,2016,2018,0,40980.277832914646
2016,7834,35,low,32,12,2008,2016,2018,0,41777.39469958019
2012,1367,36,high,48,9,2012,2017,2015,0,54554.166526712535
2013,1367,36,high,49,10,2012,2017,2015,0,55467.81284257611
2014,1367,36,high,50,11,2012,2017,2015,0,56353.563545985045
2015,1367,36,high,51,12,2012,2017,2015,1,64329.969122258524
2016,1367,36,high,52,13,2012,2017,2015,1,65156.90055113591
2017,1367,36,high,53,14,2012,2017,2015,1,66126.87274921473
2007,1628,37,medium,24,1,2007,2015,2010,0,37571.96566459423
2008,1628,37,medium,25,2,2007,2015,2010,0,38728.07294381452
2009,1628,37,medium,26,3,2007,2015,2010,0,39475.247978834355
2010,1628,37,medium,27,4,2007,2015,2010,1,47390.0218970407
2011,1628,37,medium,28,5,2007,2015,2010,1,48171.54881061867
2012,1628,37,medium,29,6,2007,2015,2010,1,49197.18269912664
2013,1628,37,medium,30,7,2007,2015,2010,1,50115.10650566703
2014,1628,37,medium,31,8,2007,2015,2010,1,50833.02315661749
2015,1628,37,medium,32,9,2007,2015,2010,1,51684.09084116123
2011,3656,38,medium,41,8,2011,2018,2014,0,46579.36660236095
2012,3656,38,medium,42,9,2011,2018,2014,0,47401.12301765445
2013,3656,38,medium,43,10,2011,2018,2014,0,48375.99214691357
2014,3656,38,medium,44,11,2011,2018,2014,1,56120.89639291019
2015,3656,38,medium,45,12,2011,2018,2014,1,56993.94940856173
2016,3656,38,medium,46,13,2011,2018,2014,1,58070.66894630011
2017,3656,38,medium,47,14,2011,2018,2014,1,58915.021623904315
2018,3656,38,medium,48,15,2011,2018,2014,1,59638.930047884984
2013,3990,39,high,36,11,2013,2016,2015,0,51284.309881810776
2014,3990,39,high,37,12,2013,2016,2015,0,51919.234293181624
2015,3990,39,high,38,13,2013,2016,2015,1,60207.33249521104
2016,3990,39,high,39,14,2013,2016,2015,1,60787.59832711114
2007,8938,40,medium,25,5,2007,2019,2011,0,39040.1560568126
2008,8938,40,medium,26,6,2007,2019,2011,0,40064.69490103872
2009,8938,40,medium,27,7,2007,2019,2011,0,40947.94339278288
2010,8938,40,medium,28,8,2007,2019,2011,0,41898.61364062269
2011,8938,40,medium,29,9,2007,2019,2011,1,49447.69237611196
2012,8938,40,medium,30,10,2007,2019,2011,1,50386.413450249274
2013,8938,40,medium,31,11,2007,2019,2011,1,51422.599727409404
2014,8938,40,medium,32,12,2007,2019,2011,1,52383.974743789775
2015,8938,40,medium,33,13,2007,2019,2011,1,53198.87725566204
2016,8938,40,medium,34,14,2007,2019,2011,1,53936.20059642866
2017,8938,40,medium,35,15,2007,2019,2011,1,55049.65781589648
2018,8938,40,medium,36,16,2007,2019,2011,1,55880.574861176596
2019,8938,40,medium,37,17,2007,2019,2011,1,56779.37610410441
2012,5493,41,medium,27,6,2012,2017,2018,0,41222.20495821894
2013,5493,41,medium,28,7,2012,2017,2018,0,42429.74842044783
2014,5493,41,medium,29,8,2012,2017,2018,0,43264.52040602855
2015,5493,41,medium,30,9,2012,2017,2018,0,44329.5164556639
2016,5493,41,medium,31,10,2012,2017,2018,0,45042.54923534688
2017,5493,41,medium,32,11,2012,2017,2018,0,46006.6340130519
2011,8892,42,low,29,7,2011,2018,2012,0,38183.18181761053
2012,8892,42,low,30,8,2011,2018,2012,1,45825.38384413388
2013,8892,42,low,31,9,2011,2018,2012,1,47161.66999466016
2014,8892,42,low,32,10,2011,2018,2012,1,47756.92076120774
2015,8892,42,low,33,11,2011,2018,2012,1,48749.45666021425
2016,8892,42,low,34,12,2011,2018,2012,1,49664.05820069491
2017,8892,42,low,35,13,2011,2018,2012,1,50418.52158720097
2018,8892,42,low,36,14,2011,2018,2012,1,51584.69803314476
2010,8533,43,medium,25,5,2010,2017,2013,0,39926.595526935445
2011,8533,43,medium,26,6,2010,2017,2013,0,40778.65273630927
2012,8533,43,medium,27,7,2010,2017,2013,0,41713.85079623885
2013,8533,43,medium,28,8,2010,2017,2013,1,49676.4252198609
2014,8533,43,medium,29,9,2010,2017,2013,1,50501.07981648097
2015,8533,43,medium,30,10,2010,2017,2013,1,51488.192991038326
2016,8533,43,medium,31,11,2010,2017,2013,1,52131.51278610322
2017,8533,43,medium,32,12,2010,2017,2013,1,53125.20300101735
2011,7613,44,medium,39,5,2011,2016,2014,0,44886.119968519066
2012,7613,44,medium,40,6,2011,2016,2014,0,46199.70081568429
2013,7613,44,medium,41,7,2011,2016,2014,0,47098.39921276849
2014,7613,44,medium,42,8,2011,2016,2014,1,54862.661606753296
2015,7613,44,medium,43,9,2011,2016,2014,1,55598.7381929087
2016,7613,44,medium,44,10,2011,2016,2014,1,56838.987827221834
2012,2712,45,low,47,7,2012,2016,2018,0,44639.55855218683
2013,2712,45,low,48,8,2012,2016,2018,0,45578.67928730948
2014,2712,45,low,49,9,2012,2016,2018,0,46515.95334057307
2015,2712,45,low,50,10,2012,2016,2018,0,47445.151594201896
2016,2712,45,low,51,11,2012,2016,2018,0,48364.38026017043
2011,7141,46,low,41,6,2011,2020,2012,0,42118.39616374744
2012,7141,46,low,42,7,2011,2020,2012,1,49935.54759146461
2013,7141,46,low,43,8,2011,2020,2012,1,50916.81009517567
2014,7141,46,low,44,9,2011,2020,2012,1,51731.079234050434
2015,7141,46,low,45,10,2011,2020,2012,1,52707.93034368722
2016,7141,46,low,46,11,2011,2020,2012,1,53599.729177783076
2017,7141,46,low,47,12,2011,2020,2012,1,54526.28472907981
2018,7141,46,low,48,13,2011,2020,2012,1,55413.7966699021
2019,7141,46,low,49,14,2011,2020,2012,1,56205.75676250887
2020,7141,46,low,50,15,2011,2020,2012,1,57195.8710171559
2011,9655,47,high,45,7,2011,2019,2013,0,52765.33997379149
2012,9655,47,high,46,8,2011,2019,2013,0,53470.887561105126
2013,9655,47,high,47,9,2011,2019,2013,1,61472.5955642769
2014,9655,47,high,48,10,2011,2019,2013,1,62460.81138912183
2015,9655,47,high,49,11,2011,2019,2013,1,63470.92924947296
2016,9655,47,high,50,12,2011,2019,2013,1,64282.49001861287
2017,9655,47,high,51,13,2011,2019,2013,1,65277.23779869776
2018,9655,47,high,52,14,2011,2019,2013,1,65960.1626609823
2019,9655,47,high,53,15,2011,2019,2013,1,66925.01904922476
2013,6335,48,medium,51,8,2013,2020,2014,0,50730.57352995261
2014,6335,48,medium,52,9,2013,2020,2014,1,58317.364828650025
2015,6335,48,medium,53,10,2013,2020,2014,1,59601.08032181145
2016,6335,48,medium,54,11,2013,2020,2014,1,60163.90901191453
2017,6335,48,medium,55,12,2013,2020,2014,1,61349.69400682784
2018,6335,48,medium,56,13,2013,2020,2014,1,62218.683179054264
2019,6335,48,medium,57,14,2013,2020,2014,1,62816.04069974851
2020,6335,48,medium,58,15,2013,2020,2014,1,63721.0938743067
2013,5586,49,low,35,8,2013,2015,2014,0,41193.24819174525
2014,5586,49,low,36,9,2013,2015,2014,1,49071.472205968654
2015,5586,49,low,37,10,2013,2015,2014,1,49761.91363555117
2008,7199,50,high,29,4,2008,2017,2013,0,45361.81211049559
2009,7199,50,high,30,5,2008,2017,2013,0,46401.26049723762
2010,7199,50,high,31,6,2008,2017,2013,0,47248.725584951164
2011,7199,50,high,32,7,2008,2017,2013,0,48255.439521584914
2012,7199,50,high,33,8,2008,2017,2013,0,49097.95809244331
2013,7199,50,high,34,9,2008,2017,2013,1,57108.30307939566
2014,7199,50,high,35,10,2008,2017,2013,1,57947.007777791376
2015,7199,50,high,36,11,2008,2017,2013,1,58822.077304914055
2016,7199,50,high,37,12,2008,2017,2013,1,59614.78752796963
2017,7199,50,high,38,13,2008,2017,2013,1,60507.46787658382
