year,business_id,personal_id,education_level,age,tenure,first_year_treatment,treatment,base_income
2009,206,4,high,38,7,2017,0,49695.7885077
2010,206,4,high,39,8,2017,0,50381.57126216341
2011,206,4,high,40,9,2017,0,51482.684522397
2012,206,4,high,41,10,2017,0,52341.88810458413
2013,206,4,high,42,11,2017,0,53296.779475326315
2014,206,4,high,43,12,2017,0,54223.612235066925
2015,206,4,high,44,13,2017,0,54972.029811934015
2016,206,4,high,45,14,2017,0,55865.61036396561
2017,206,4,high,46,15,2017,1,63834.94661417402
2018,206,4,high,47,16,2017,1,64653.4442328105
2019,206,4,high,48,17,2017,1,65665.04890781105
2020,206,4,high,49,18,2017,1,66538.65787486536
2007,171,5,medium,36,1,2014,0,42113.35282206121
2008,171,5,medium,37,2,2014,0,42647.49091111891
2009,171,5,medium,38,3,2014,0,43571.79521737002
2010,171,5,medium,39,4,2014,0,44592.39430697909
2011,171,5,medium,40,5,2014,0,45537.270509799055
2012,171,5,medium,41,6,2014,0,46578.72259829573
2013,171,5,medium,42,7,2014,0,47412.292049934134
2014,171,5,medium,43,8,2014,1,55232.37330769751
2015,171,5,medium,44,9,2014,1,56079.305924564556
2016,171,5,medium,45,10,2014,1,57039.663038371094
2017,171,5,medium,46,11,2014,1,57788.967798265265
2018,171,5,medium,47,12,2014,1,58718.383410319024
2019,171,5,medium,48,13,2014,1,59501.757575314106
2020,171,5,medium,49,14,2014,1,60527.115248376096
2007,288,6,medium,40,2,2012,0,43596.264128999974
2008,288,6,medium,41,3,2012,0,44379.0307563163
2009,288,6,medium,42,4,2012,0,45222.59570692535
2010,288,6,medium,43,5,2012,0,46164.0221854708
2011,288,6,medium,44,6,2012,0,47172.40832515259
2012,288,6,medium,45,7,2012,1,54974.42353630411
2013,288,6,medium,46,8,2012,1,55984.992120406234
2014,288,6,medium,47,9,2012,1,56668.86757742489
2015,288,6,medium,48,10,2012,1,57612.96950454389
2016,288,6,medium,49,11,2012,1,58549.33567803685
2017,288,6,medium,50,12,2012,1,59369.00493127875
2018,288,6,medium,51,13,2012,1,60694.36634164813
2019,288,6,medium,52,14,2012,1,61190.373420471864
2020,288,6,medium,53,15,2012,1,62291.4884321926
2007,120,7,low,33,4,2017,0,37483.39393797696
2008,120,7,low,34,5,2017,0,38398.62125084917
2009,120,7,low,35,6,2017,0,39380.132280094964
2010,120,7,low,36,7,2017,0,40104.14830790133
2011,120,7,low,37,8,2017,0,41083.72616866218
2012,120,7,low,38,9,2017,0,42035.35271932584
2013,120,7,low,39,10,2017,0,42865.39829835443
2014,120,7,low,40,11,2017,0,43767.75106312199
2015,120,7,low,41,12,2017,0,44858.67270230393
2016,120,7,low,42,13,2017,0,45750.49868807026
2017,120,7,low,43,14,2017,1,53505.8233976774
2018,120,7,low,44,15,2017,1,54441.583491481884
2019,120,7,low,45,16,2017,1,55473.701607293646
2020,120,7,low,46,17,2017,1,56107.35211152744
2007,202,8,low,44,1,2013,0,40683.80226588751
2008,202,8,low,45,2,2013,0,41747.45711969535
2009,202,8,low,46,3,2013,0,42646.50347639254
2010,202,8,low,47,4,2013,0,43156.00887813968
2011,202,8,low,48,5,2013,0,44173.737303578484
2012,202,8,low,49,6,2013,0,45166.86593871933
2013,202,8,low,50,7,2013,1,52917.812304936655
2014,202,8,low,51,8,2013,1,53883.17533008676
2015,202,8,low,52,9,2013,1,54836.27089963207
2016,202,8,low,53,10,2013,1,55890.132156469364
2017,202,8,low,54,11,2013,1,56645.45973447132
2018,202,8,low,55,12,2013,1,57571.69367261623
2019,202,8,low,56,13,2013,1,58501.24237323716
2020,202,8,low,57,14,2013,1,59404.348869124246
2007,221,9,medium,41,4,2017,0,44352.80994633482
2008,221,9,medium,42,5,2017,0,45130.29129366617
2009,221,9,medium,43,6,2017,0,46228.967280475066
2010,221,9,medium,44,7,2017,0,47093.148946326306
2011,221,9,medium,45,8,2017,0,47840.32477014228
2012,221,9,medium,46,9,2017,0,48781.76984360797
2013,221,9,medium,47,10,2017,0,49838.75116144163
2014,221,9,medium,48,11,2017,0,50710.548313084764
2015,221,9,medium,49,12,2017,0,51477.97020071412
2016,221,9,medium,50,13,2017,0,52423.00662309243
2017,221,9,medium,51,14,2017,1,60335.65377703693
2018,221,9,medium,52,15,2017,1,61311.70037757151
2019,221,9,medium,53,16,2017,1,62274.89406991399
2020,221,9,medium,54,17,2017,1,63056.56491581112
2007,314,10,medium,46,2,2015,0,45716.920764695264
2008,314,10,medium,47,3,2015,0,46587.33169690894
2009,314,10,medium,48,4,2015,0,47420.565013400665
2010,314,10,medium,49,5,2015,0,48155.65166483037
2011,314,10,medium,50,6,2015,0,49097.22891359115
2012,314,10,medium,51,7,2015,0,50174.124063504525
2013,314,10,medium,52,8,2015,0,50828.9470421475
2014,314,10,medium,53,9,2015,0,51911.8978491896
2015,314,10,medium,54,10,2015,1,59900.04856077621
2016,314,10,medium,55,11,2015,1,60715.242086225924
2017,314,10,medium,56,12,2015,1,61539.86027544283
2018,314,10,medium,57,13,2015,1,62415.33856431352
2019,314,10,medium,58,14,2015,1,63481.61527228814
2020,314,10,medium,59,15,2015,1,64347.1707291527
