,year,business_id,personal_id,education_level,age,tenure,first_year_treatment,treatment,base_income
78,2011,186,8,low,50,10,2017,0,34683.521553071005
79,2012,186,8,low,51,11,2017,0,31024.862170798213
80,2013,186,8,low,52,12,2017,0,35060.65622432498
81,2014,186,8,low,53,13,2017,0,36714.22514302349
82,2015,186,8,low,54,14,2017,0,39455.78808948303
83,2016,186,8,low,55,15,2017,0,35963.45956345271
84,2017,186,8,low,56,16,2017,1,40883.012794213624
85,2018,186,8,low,57,17,2017,1,41996.485912830925
86,2019,186,8,low,58,18,2017,1,45330.804235404146
87,2020,186,8,low,59,19,2017,1,44657.502219319365
88,2010,174,9,high,33,9,2015,0,33140.47959246592
89,2011,174,9,high,34,10,2015,0,35726.53486622671
90,2012,174,9,high,35,11,2015,0,35394.15509869608
91,2013,174,9,high,36,12,2015,0,37637.28998106578
92,2014,174,9,high,37,13,2015,0,34795.8938122453
93,2015,174,9,high,38,14,2015,1,41044.67570680446
94,2016,174,9,high,39,15,2015,1,41415.783693735684
95,2017,174,9,high,40,16,2015,1,39772.97010373576
96,2018,174,9,high,41,17,2015,1,43792.24055412915
97,2019,174,9,high,42,18,2015,1,44222.11054435978
98,2020,174,9,high,43,19,2015,1,44210.226913284925
99,2010,174,10,low,28,2,2016,0,25830.825733249705
100,2011,174,10,low,29,3,2016,0,23969.25851589917
101,2012,174,10,low,30,4,2016,0,26458.709354469283
102,2013,174,10,low,31,5,2016,0,27114.57096694646
103,2014,174,10,low,32,6,2016,0,26695.445461556763
104,2015,174,10,low,33,7,2016,0,28477.428576667982
105,2016,174,10,low,34,8,2016,1,35108.101713629076
106,2017,174,10,low,35,9,2016,1,38572.37180242106
107,2018,174,10,low,36,10,2016,1,35649.155625663676
108,2019,174,10,low,37,11,2016,1,36315.10078144553
109,2020,174,10,low,38,12,2016,1,36151.10816846767
110,2010,187,11,medium,38,3,2018,0,27662.45756940192
111,2011,187,11,medium,39,4,2018,0,31946.972249101567
112,2012,187,11,medium,40,5,2018,0,32620.460419882053
113,2013,187,11,medium,41,6,2018,0,37926.48422497057
114,2014,187,11,medium,42,7,2018,0,33115.27807043776
115,2015,187,11,medium,43,8,2018,0,34603.09468466722
116,2016,187,11,medium,44,9,2018,0,34430.57646058952
117,2017,187,11,medium,45,10,2018,0,32662.643924760938
118,2018,187,11,medium,46,11,2018,1,42785.64562903004
119,2019,187,11,medium,47,12,2018,1,42503.86606537355
120,2020,187,11,medium,48,13,2018,1,43082.063894086095
121,2010,199,12,high,29,5,2012,0,30381.225090410524
122,2011,199,12,high,30,6,2012,0,35505.5886218722
123,2012,199,12,high,31,7,2012,1,35396.29787441544
124,2013,199,12,high,32,8,2012,1,39873.71418760054
125,2014,199,12,high,33,9,2012,1,43580.91125161996
126,2015,199,12,high,34,10,2012,1,37718.927349738624
127,2016,199,12,high,35,11,2012,1,39067.40454079446
128,2017,199,12,high,36,12,2012,1,40899.30273017528
129,2018,199,12,high,37,13,2012,1,40193.0486917676
130,2019,199,12,high,38,14,2012,1,38598.673137867736
131,2020,199,12,high,39,15,2012,1,42337.125949612055
132,2010,123,13,medium,26,5,2017,0,26175.39257254779
133,2011,123,13,medium,27,6,2017,0,29747.18486127036
134,2012,123,13,medium,28,7,2017,0,27461.151531532392
135,2013,123,13,medium,29,8,2017,0,32899.86881003508
136,2014,123,13,medium,30,9,2017,0,28733.493415327524
137,2015,123,13,medium,31,10,2017,0,30155.87696758865
138,2016,123,13,medium,32,11,2017,0,32927.03443473934
139,2017,123,13,medium,33,12,2017,1,34338.27136713209
140,2018,123,13,medium,34,13,2017,1,37754.91986920826
141,2019,123,13,medium,35,14,2017,1,40414.285508564855
142,2020,123,13,medium,36,15,2017,1,35085.03353087755
143,2010,102,14,high,35,1,2017,0,33569.267717064606
144,2011,102,14,high,36,2,2017,0,34219.76558849685
145,2012,102,14,high,37,3,2017,0,35763.64574355462
146,2013,102,14,high,38,4,2017,0,32226.098578243837
147,2014,102,14,high,39,5,2017,0,32559.08677383145
148,2015,102,14,high,40,6,2017,0,36743.88313123379
149,2016,102,14,high,41,7,2017,0,36793.96934646637
150,2017,102,14,high,42,8,2017,1,42200.98570069175
151,2018,102,14,high,43,9,2017,1,42892.89641899395
152,2019,102,14,high,44,10,2017,1,41339.95055684302
153,2020,102,14,high,45,11,2017,1,43664.507394322005
154,2010,121,15,low,33,8,2017,0,29586.144946597364
155,2011,121,15,low,34,9,2017,0,28071.297163947263
156,2012,121,15,low,35,10,2017,0,33731.54902228952
157,2013,121,15,low,36,11,2017,0,31447.665841823575
158,2014,121,15,low,37,12,2017,0,28617.393005594702
159,2015,121,15,low,38,13,2017,0,32813.10721726766
160,2016,121,15,low,39,14,2017,0,30050.63665954536
161,2017,121,15,low,40,15,2017,1,39074.169207484905
162,2018,121,15,low,41,16,2017,1,40317.19115801481
163,2019,121,15,low,42,17,2017,1,36858.63536329658
164,2020,121,15,low,43,18,2017,1,40926.75225848865
165,2010,152,16,medium,48,8,2015,0,36325.561853873
166,2011,152,16,medium,49,9,2015,0,37644.12031998898
167,2012,152,16,medium,50,10,2015,0,40293.585965307895
168,2013,152,16,medium,51,11,2015,0,36509.223767994255
169,2014,152,16,medium,52,12,2015,0,35992.52767128502
170,2015,152,16,medium,53,13,2015,1,41220.97114074895
171,2016,152,16,medium,54,14,2015,1,41868.37943006912
172,2017,152,16,medium,55,15,2015,1,43845.796581171795
173,2018,152,16,medium,56,16,2015,1,45182.303949633286
174,2019,152,16,medium,57,17,2015,1,45553.38159866004
175,2020,152,16,medium,58,18,2015,1,47154.36649807205
176,2010,101,17,medium,27,4,2016,0,28426.003783755816
177,2011,101,17,medium,28,5,2016,0,31807.068154314635
178,2012,101,17,medium,29,6,2016,0,28870.68633352409
179,2013,101,17,medium,30,7,2016,0,35340.338333179236
180,2014,101,17,medium,31,8,2016,0,31651.33469553001
181,2015,101,17,medium,32,9,2016,0,29185.684887167434
182,2016,101,17,medium,33,10,2016,1,34258.215003877776
183,2017,101,17,medium,34,11,2016,1,37864.94483048637
184,2018,101,17,medium,35,12,2016,1,36953.0744293483
185,2019,101,17,medium,36,13,2016,1,39328.00098818418
186,2020,101,17,medium,37,14,2016,1,39346.475249147086
187,2010,187,18,medium,51,7,2015,0,36054.34217468625
188,2011,187,18,medium,52,8,2015,0,35006.41256386319
189,2012,187,18,medium,53,9,2015,0,34170.30555062827
190,2013,187,18,medium,54,10,2015,0,36806.97009586596
191,2014,187,18,medium,55,11,2015,0,39912.79758864694
192,2015,187,18,medium,56,12,2015,1,44128.18748826041
193,2016,187,18,medium,57,13,2015,1,41708.522442576024
194,2017,187,18,medium,58,14,2015,1,45046.361851702364
195,2018,187,18,medium,59,15,2015,1,45970.63475945767
196,2019,187,18,medium,60,16,2015,1,43932.28512759774
197,2020,187,18,medium,61,17,2015,1,46507.45021189105
198,2010,129,19,low,52,3,2013,0,33816.417436892
199,2011,129,19,low,53,4,2013,0,31914.059404338754
200,2012,129,19,low,54,5,2013,0,35415.57472069657
201,2013,129,19,low,55,6,2013,1,41321.56905273647
202,2014,129,19,low,56,7,2013,1,42866.10248635055
203,2015,129,19,low,57,8,2013,1,43307.604104069804
204,2016,129,19,low,58,9,2013,1,38944.661264085815
205,2017,129,19,low,59,10,2013,1,40324.349920169756
206,2018,129,19,low,60,11,2013,1,43730.07053441732
207,2019,129,19,low,61,12,2013,1,44227.57190182442
208,2020,129,19,low,62,13,2013,1,44730.09537261209
209,2010,137,20,low,53,6,2013,0,42305.46298130944
210,2011,137,20,low,54,7,2013,0,36241.781021386334
211,2012,137,20,low,55,8,2013,0,37871.131280361195
212,2013,137,20,low,56,9,2013,1,43008.0035269864
213,2014,137,20,low,57,10,2013,1,42902.7825026116
214,2015,137,20,low,58,11,2013,1,41469.46151071931
215,2016,137,20,low,59,12,2013,1,44117.93844098654
216,2017,137,20,low,60,13,2013,1,41554.34957092485
217,2018,137,20,low,61,14,2013,1,43126.36278651998
218,2019,137,20,low,62,15,2013,1,43129.27290434179
219,2020,137,20,low,63,16,2013,1,44763.74827877265
220,2010,101,21,low,33,9,2016,0,33829.317133347016
221,2011,101,21,low,34,10,2016,0,25965.469614816502
222,2012,101,21,low,35,11,2016,0,31572.520380749025
223,2013,101,21,low,36,12,2016,0,27474.568257620696
224,2014,101,21,low,37,13,2016,0,30256.136268421134
225,2015,101,21,low,38,14,2016,0,33877.90119393473
226,2016,101,21,low,39,15,2016,1,37328.560038190924
227,2017,101,21,low,40,16,2016,1,35544.510444141386
228,2018,101,21,low,41,17,2016,1,36769.39258148006
229,2019,101,21,low,42,18,2016,1,40059.195497869354
230,2020,101,21,low,43,19,2016,1,37739.266736565725
231,2010,163,22,medium,27,1,2018,0,28232.91717916395
232,2011,163,22,medium,28,2,2018,0,28391.14367980763
233,2012,163,22,medium,29,3,2018,0,27496.799304788365
234,2013,163,22,medium,30,4,2018,0,33587.88817865065
235,2014,163,22,medium,31,5,2018,0,31067.838044636024
236,2015,163,22,medium,32,6,2018,0,26249.714826684787
237,2016,163,22,medium,33,7,2018,0,31172.908629538855
238,2017,163,22,medium,34,8,2018,0,29976.427070463225
239,2018,163,22,medium,35,9,2018,1,38504.86666959245
240,2019,163,22,medium,36,10,2018,1,35714.9585231346
241,2020,163,22,medium,37,11,2018,1,37570.5271170662
242,2010,159,23,high,49,5,2015,0,39209.974557960915
243,2011,159,23,high,50,6,2015,0,40431.51038834024
244,2012,159,23,high,51,7,2015,0,36799.40718588845
245,2013,159,23,high,52,8,2015,0,39030.997528318105
246,2014,159,23,high,53,9,2015,0,39250.10937767809
247,2015,159,23,high,54,10,2015,1,44393.341534852574
248,2016,159,23,high,55,11,2015,1,49730.9084805622
249,2017,159,23,high,56,12,2015,1,47509.96342192191
250,2018,159,23,high,57,13,2015,1,44678.23209132991
251,2019,159,23,high,58,14,2015,1,49535.72389410955
252,2020,159,23,high,59,15,2015,1,52444.31239402527
253,2010,120,24,medium,26,4,2012,0,30164.930521102295
254,2011,120,24,medium,27,5,2012,0,25561.26006809197
255,2012,120,24,medium,28,6,2012,1,33131.531854267494
256,2013,120,24,medium,29,7,2012,1,37133.82229837325
257,2014,120,24,medium,30,8,2012,1,33684.66106876244
258,2015,120,24,medium,31,9,2012,1,36487.638856292455
259,2016,120,24,medium,32,10,2012,1,37649.268106858675
260,2017,120,24,medium,33,11,2012,1,34746.13905684384
261,2018,120,24,medium,34,12,2012,1,36980.9492878764
262,2019,120,24,medium,35,13,2012,1,31117.465319861854
263,2020,120,24,medium,36,14,2012,1,36051.22471733142
264,2010,132,25,low,36,8,2017,0,29394.86369721368
265,2011,132,25,low,37,9,2017,0,27904.433636070302
266,2012,132,25,low,38,10,2017,0,34164.82260786327
267,2013,132,25,low,39,11,2017,0,28539.717244078733
268,2014,132,25,low,40,12,2017,0,31019.91102660603
269,2015,132,25,low,41,13,2017,0,32661.481154572182
270,2016,132,25,low,42,14,2017,0,35782.54657813223
271,2017,132,25,low,43,15,2017,1,35528.27569764112
272,2018,132,25,low,44,16,2017,1,41226.32750430992
273,2019,132,25,low,45,17,2017,1,39420.46612203917
274,2020,132,25,low,46,18,2017,1,37936.982697904095
275,2010,175,26,high,34,1,2017,0,33824.20694852654
276,2011,175,26,high,35,2,2017,0,33798.11939114694
277,2012,175,26,high,36,3,2017,0,32699.56624568241
278,2013,175,26,high,37,4,2017,0,34539.60416998004
279,2014,175,26,high,38,5,2017,0,34129.37280627648
280,2015,175,26,high,39,6,2017,0,35627.03469050249
281,2016,175,26,high,40,7,2017,0,37224.26134904209
282,2017,175,26,high,41,8,2017,1,44572.0336322907
283,2018,175,26,high,42,9,2017,1,39424.3690023463
284,2019,175,26,high,43,10,2017,1,46666.06674931254
285,2020,175,26,high,44,11,2017,1,38995.824400954996
286,2010,157,27,medium,33,9,2016,0,30896.42980992883
287,2011,157,27,medium,34,10,2016,0,32876.63441296915
288,2012,157,27,medium,35,11,2016,0,32761.983735470065
289,2013,157,27,medium,36,12,2016,0,31454.600960358814
290,2014,157,27,medium,37,13,2016,0,32783.75549928545
291,2015,157,27,medium,38,14,2016,0,32713.998130682336
292,2016,157,27,medium,39,15,2016,1,38021.27048611158
293,2017,157,27,medium,40,16,2016,1,41399.204194042046
294,2018,157,27,medium,41,17,2016,1,40914.03097193009
295,2019,157,27,medium,42,18,2016,1,39314.18080947869
296,2020,157,27,medium,43,19,2016,1,42999.1997508665
297,2010,121,28,medium,39,6,2018,0,33014.599041753216
298,2011,121,28,medium,40,7,2018,0,34525.72423767792
299,2012,121,28,medium,41,8,2018,0,34659.25768384722
300,2013,121,28,medium,42,9,2018,0,32242.009978155857
301,2014,121,28,medium,43,10,2018,0,33279.63791960606
302,2015,121,28,medium,44,11,2018,0,36394.58721024652
303,2016,121,28,medium,45,12,2018,0,36620.74053086693
304,2017,121,28,medium,46,13,2018,0,35858.19681207171
305,2018,121,28,medium,47,14,2018,1,41634.65476661756
306,2019,121,28,medium,48,15,2018,1,44455.32979157685
307,2020,121,28,medium,49,16,2018,1,41216.85722232834
308,2010,188,29,low,32,4,2013,0,28994.194762340077
309,2011,188,29,low,33,5,2013,0,27995.61469513221
310,2012,188,29,low,34,6,2013,0,28464.637593545558
311,2013,188,29,low,35,7,2013,1,36597.55370397438
312,2014,188,29,low,36,8,2013,1,36550.83269797606
313,2015,188,29,low,37,9,2013,1,37027.01927200128
314,2016,188,29,low,38,10,2013,1,38510.95761430866
315,2017,188,29,low,39,11,2013,1,36442.00768326552
316,2018,188,29,low,40,12,2013,1,38263.905942589925
317,2019,188,29,low,41,13,2013,1,36779.466486813086
318,2020,188,29,low,42,14,2013,1,38548.332704976885
319,2010,148,30,medium,49,9,2013,0,35739.71389126463
320,2011,148,30,medium,50,10,2013,0,36693.99192998544
321,2012,148,30,medium,51,11,2013,0,38190.31405087383
322,2013,148,30,medium,52,12,2013,1,40863.55863353305
323,2014,148,30,medium,53,13,2013,1,47184.77455137092
324,2015,148,30,medium,54,14,2013,1,41487.96523700059
325,2016,148,30,medium,55,15,2013,1,41571.62277442453
326,2017,148,30,medium,56,16,2013,1,46816.221747000134
327,2018,148,30,medium,57,17,2013,1,46583.32538792587
328,2019,148,30,medium,58,18,2013,1,46748.23963410431
329,2020,148,30,medium,59,19,2013,1,47256.69101852856
330,2010,190,31,low,29,5,2017,0,27175.50645430617
331,2011,190,31,low,30,6,2017,0,25905.491257028338
332,2012,190,31,low,31,7,2017,0,28351.60911638745
333,2013,190,31,low,32,8,2017,0,27345.676576975777
334,2014,190,31,low,33,9,2017,0,31150.2394668355
335,2015,190,31,low,34,10,2017,0,29405.885236995724
336,2016,190,31,low,35,11,2017,0,28549.005606414976
337,2017,190,31,low,36,12,2017,1,35057.22831669401
338,2018,190,31,low,37,13,2017,1,37025.86290855125
339,2019,190,31,low,38,14,2017,1,35572.55089439205
340,2020,190,31,low,39,15,2017,1,35555.55920886714
341,2010,158,32,medium,35,5,2016,0,31487.374422983823
342,2011,158,32,medium,36,6,2016,0,31989.933142217447
343,2012,158,32,medium,37,7,2016,0,30986.11364925774
344,2013,158,32,medium,38,8,2016,0,31557.923388763353
345,2014,158,32,medium,39,9,2016,0,33464.09987471527
346,2015,158,32,medium,40,10,2016,0,30603.83131700535
347,2016,158,32,medium,41,11,2016,1,36185.07245124689
348,2017,158,32,medium,42,12,2016,1,38063.111557495125
349,2018,158,32,medium,43,13,2016,1,39573.105696576305
350,2019,158,32,medium,44,14,2016,1,41121.81513119601
351,2020,158,32,medium,45,15,2016,1,43950.712433899105
352,2010,141,33,high,51,5,2015,0,40515.31924640404
353,2011,141,33,high,52,6,2015,0,38980.122940073146
354,2012,141,33,high,53,7,2015,0,39761.96758419462
355,2013,141,33,high,54,8,2015,0,38294.94127072438
356,2014,141,33,high,55,9,2015,0,40762.97372801522
357,2015,141,33,high,56,10,2015,1,45722.68272215973
358,2016,141,33,high,57,11,2015,1,47445.43712067618
359,2017,141,33,high,58,12,2015,1,45645.53811289535
360,2018,141,33,high,59,13,2015,1,48838.69302848235
361,2019,141,33,high,60,14,2015,1,51365.47782600515
362,2020,141,33,high,61,15,2015,1,48582.47970308628
363,2010,191,34,low,26,1,2013,0,26303.423444197884
364,2011,191,34,low,27,2,2013,0,27380.287983422226
365,2012,191,34,low,28,3,2013,0,25697.55905622833
366,2013,191,34,low,29,4,2013,1,32448.184963620835
367,2014,191,34,low,30,5,2013,1,32525.18480156359
368,2015,191,34,low,31,6,2013,1,33195.352197097665
369,2016,191,34,low,32,7,2013,1,31953.980432289067
370,2017,191,34,low,33,8,2013,1,34049.020348517886
371,2018,191,34,low,34,9,2013,1,35495.9965824909
372,2019,191,34,low,35,10,2013,1,37902.287215590084
373,2020,191,34,low,36,11,2013,1,37418.54165217042
374,2010,159,35,medium,48,1,2015,0,38406.364915023114
375,2011,159,35,medium,49,2,2015,0,33065.304874223904
376,2012,159,35,medium,50,3,2015,0,36844.64127344135
377,2013,159,35,medium,51,4,2015,0,35966.684011476704
378,2014,159,35,medium,52,5,2015,0,40479.60586643535
379,2015,159,35,medium,53,6,2015,1,39983.4034292897
380,2016,159,35,medium,54,7,2015,1,40420.556315638445
381,2017,159,35,medium,55,8,2015,1,41401.214709111955
382,2018,159,35,medium,56,9,2015,1,38852.20855138038
383,2019,159,35,medium,57,10,2015,1,42548.48995663848
384,2020,159,35,medium,58,11,2015,1,42581.73467689261
385,2010,179,36,low,52,8,2018,0,35000.78757295242
386,2011,179,36,low,53,9,2018,0,35883.51195155432
387,2012,179,36,low,54,10,2018,0,39452.341678431774
388,2013,179,36,low,55,11,2018,0,38100.8476763721
389,2014,179,36,low,56,12,2018,0,35546.1926886752
390,2015,179,36,low,57,13,2018,0,35403.170657303286
391,2016,179,36,low,58,14,2018,0,38683.83834301301
392,2017,179,36,low,59,15,2018,0,35559.533585958714
393,2018,179,36,low,60,16,2018,1,47362.91753170871
394,2019,179,36,low,61,17,2018,1,46558.88024144257
395,2020,179,36,low,62,18,2018,1,43761.64869579059
396,2010,114,37,medium,39,8,2013,0,29373.730941818245
397,2011,114,37,medium,40,9,2013,0,36007.74474833083
398,2012,114,37,medium,41,10,2013,0,33570.920309494766
399,2013,114,37,medium,42,11,2013,1,41775.63262394692
400,2014,114,37,medium,43,12,2013,1,36611.144682411265
401,2015,114,37,medium,44,13,2013,1,39101.249954092455
402,2016,114,37,medium,45,14,2013,1,40810.487399436366
403,2017,114,37,medium,46,15,2013,1,41393.96118752949
404,2018,114,37,medium,47,16,2013,1,40899.86905704151
405,2019,114,37,medium,48,17,2013,1,43545.699864694994
406,2020,114,37,medium,49,18,2013,1,40664.75914123481
407,2010,161,38,medium,30,6,2013,0,29415.24102995741
408,2011,161,38,medium,31,7,2013,0,30440.591263423797
409,2012,161,38,medium,32,8,2013,0,31728.877668117497
410,2013,161,38,medium,33,9,2013,1,37623.22975617778
411,2014,161,38,medium,34,10,2013,1,34450.715816324264
412,2015,161,38,medium,35,11,2013,1,34131.771658528756
413,2016,161,38,medium,36,12,2013,1,40255.35364379702
414,2017,161,38,medium,37,13,2013,1,38864.62802395919
415,2018,161,38,medium,38,14,2013,1,37203.026926886894
416,2019,161,38,medium,39,15,2013,1,42302.30395104505
417,2020,161,38,medium,40,16,2013,1,39931.34926858572
418,2010,161,39,medium,32,4,2014,0,32258.594368127655
419,2011,161,39,medium,33,5,2014,0,30535.036962820217
420,2012,161,39,medium,34,6,2014,0,35021.495849763975
421,2013,161,39,medium,35,7,2014,0,34910.68168488641
422,2014,161,39,medium,36,8,2014,1,36402.07170304185
423,2015,161,39,medium,37,9,2014,1,39343.14190190871
424,2016,161,39,medium,38,10,2014,1,39190.7518991703
425,2017,161,39,medium,39,11,2014,1,41137.2631150647
426,2018,161,39,medium,40,12,2014,1,36970.153078839794
427,2019,161,39,medium,41,13,2014,1,40772.102919996876
428,2020,161,39,medium,42,14,2014,1,42016.848973699176
429,2010,146,40,medium,51,2,2013,0,31682.521027153773
430,2011,146,40,medium,52,3,2013,0,33333.48297466845
431,2012,146,40,medium,53,4,2013,0,32121.535644479798
432,2013,146,40,medium,54,5,2013,1,41161.18633111088
433,2014,146,40,medium,55,6,2013,1,43635.08451159192
434,2015,146,40,medium,56,7,2013,1,45704.714104192055
435,2016,146,40,medium,57,8,2013,1,43348.18956083955
436,2017,146,40,medium,58,9,2013,1,46957.23109114258
437,2018,146,40,medium,59,10,2013,1,41439.797083570214
438,2019,146,40,medium,60,11,2013,1,41293.23512128969
439,2020,146,40,medium,61,12,2013,1,45088.90460220676
440,2010,161,41,medium,29,2,2012,0,29368.130897878615
441,2011,161,41,medium,30,3,2012,0,29034.610503811815
442,2012,161,41,medium,31,4,2012,1,30465.115799920248
443,2013,161,41,medium,32,5,2012,1,34921.75992097442
444,2014,161,41,medium,33,6,2012,1,32991.060998990295
445,2015,161,41,medium,34,7,2012,1,37439.34509766008
446,2016,161,41,medium,35,8,2012,1,37333.196492193696
447,2017,161,41,medium,36,9,2012,1,35220.24042734529
448,2018,161,41,medium,37,10,2012,1,36572.26616532661
449,2019,161,41,medium,38,11,2012,1,35981.572956222095
450,2020,161,41,medium,39,12,2012,1,38474.641805453655
451,2010,150,42,medium,40,9,2016,0,35210.28464100248
452,2011,150,42,medium,41,10,2016,0,31828.547907328913
453,2012,150,42,medium,42,11,2016,0,35308.093031035685
454,2013,150,42,medium,43,12,2016,0,33739.48476325512
455,2014,150,42,medium,44,13,2016,0,33714.254335475314
456,2015,150,42,medium,45,14,2016,0,35585.93928009088
457,2016,150,42,medium,46,15,2016,1,39229.51535516125
458,2017,150,42,medium,47,16,2016,1,40692.701389305636
459,2018,150,42,medium,48,17,2016,1,39904.244214822305
460,2019,150,42,medium,49,18,2016,1,46729.45026583278
461,2020,150,42,medium,50,19,2016,1,43370.52710394346
462,2010,154,43,medium,50,5,2016,0,34100.54898401483
463,2011,154,43,medium,51,6,2016,0,36427.959821468445
464,2012,154,43,medium,52,7,2016,0,36275.34390061834
465,2013,154,43,medium,53,8,2016,0,36558.060800933556
466,2014,154,43,medium,54,9,2016,0,38728.33340008685
467,2015,154,43,medium,55,10,2016,0,39515.01542009461
468,2016,154,43,medium,56,11,2016,1,42438.99770477894
469,2017,154,43,medium,57,12,2016,1,42848.36351871064
470,2018,154,43,medium,58,13,2016,1,43949.89660569671
471,2019,154,43,medium,59,14,2016,1,40396.15767052883
472,2020,154,43,medium,60,15,2016,1,42469.6178756029
473,2010,163,44,medium,42,4,2015,0,35633.74853488905
474,2011,163,44,medium,43,5,2015,0,36689.935427002565
475,2012,163,44,medium,44,6,2015,0,33401.92792088725
476,2013,163,44,medium,45,7,2015,0,35553.11392611153
477,2014,163,44,medium,46,8,2015,0,35522.500309087074
478,2015,163,44,medium,47,9,2015,1,46557.76161691047
479,2016,163,44,medium,48,10,2015,1,43139.149822869156
480,2017,163,44,medium,49,11,2015,1,41144.164817038465
481,2018,163,44,medium,50,12,2015,1,39988.919118799146
482,2019,163,44,medium,51,13,2015,1,39187.10735948486
483,2020,163,44,medium,52,14,2015,1,43306.92727173444
484,2010,102,45,medium,30,1,2018,0,27187.29850943139
485,2011,102,45,medium,31,2,2018,0,26355.492580804654
486,2012,102,45,medium,32,3,2018,0,28406.854231514946
